X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
8.52E-06	0.44014078	404.35931	587363.8	1941.6338	1.0022976	1.62E-07	0.021652933	2.21E-07	0.17178857	2.19E-06	1.00E-06	3.17E-09	0.80655231	2.60E-06	-112.67466
8.72E-06	0.44014076	404.35928	587363.81	1941.6338	1.0022977	1.67E-07	0.021652914	2.32E-07	0.17178842	2.22E-06	1.03E-06	3.31E-09	0.80655231	2.71E-06	-110.38892
8.92E-06	0.44014074	404.35925	587363.83	1941.6337	1.0022978	1.73E-07	0.021652894	2.44E-07	0.17178826	2.25E-06	1.05E-06	3.45E-09	0.80655231	2.81E-06	-108.17348
9.12E-06	0.44014072	404.35923	587363.84	1941.6336	1.0022978	1.79E-07	0.021652874	2.56E-07	0.1717881	2.28E-06	1.08E-06	3.60E-09	0.80655231	2.91E-06	-106.02371
9.32E-06	0.44014071	404.3592	587363.85	1941.6335	1.0022979	1.85E-07	0.021652853	2.69E-07	0.17178795	2.31E-06	1.10E-06	3.74E-09	0.80655231	3.02E-06	-103.93523
9.52E-06	0.44014069	404.35917	587363.86	1941.6334	1.002298	1.91E-07	0.021652833	2.81E-07	0.17178779	2.34E-06	1.13E-06	3.89E-09	0.80655231	3.13E-06	-101.90387
9.72E-06	0.44014067	404.35915	587363.87	1941.6333	1.002298	1.97E-07	0.021652812	2.94E-07	0.17178762	2.37E-06	1.15E-06	4.04E-09	0.80655231	3.24E-06	-99.9257
9.92E-06	0.44014066	404.35912	587363.88	1941.6332	1.0022981	2.03E-07	0.021652791	3.07E-07	0.17178746	2.40E-06	1.18E-06	4.20E-09	0.80655231	3.35E-06	-97.996963
1.03E-05	0.44014062	404.35908	587363.9	1941.6331	1.0022982	2.15E-07	0.021652749	3.34E-07	0.17178713	2.46E-06	1.22E-06	4.51E-09	0.80655231	3.57E-06	-94.273783
1.07E-05	0.4401406	404.35904	587363.91	1941.6329	1.0022983	2.26E-07	0.02165271	3.60E-07	0.17178683	2.51E-06	1.27E-06	4.80E-09	0.80655231	3.78E-06	-91.058256
1.10E-05	0.44014057	404.359	587363.93	1941.6328	1.0022984	2.37E-07	0.02165267	3.86E-07	0.17178652	2.57E-06	1.31E-06	5.10E-09	0.80655231	3.99E-06	-87.95296
1.14E-05	0.44014054	404.35896	587363.95	1941.6327	1.0022985	2.49E-07	0.02165263	4.13E-07	0.17178621	2.62E-06	1.36E-06	5.41E-09	0.80655231	4.21E-06	-84.942186
1.18E-05	0.44014052	404.35892	587363.96	1941.6325	1.0022986	2.61E-07	0.021652589	4.41E-07	0.17178589	2.67E-06	1.40E-06	5.72E-09	0.80655231	4.43E-06	-82.011669
1.21E-05	0.4401405	404.35888	587363.98	1941.6324	1.0022987	2.73E-07	0.021652547	4.70E-07	0.17178557	2.72E-06	1.45E-06	6.04E-09	0.80655231	4.66E-06	-79.148456
1.25E-05	0.44014047	404.35885	587363.99	1941.6323	1.0022988	2.85E-07	0.021652505	4.99E-07	0.17178524	2.78E-06	1.49E-06	6.36E-09	0.80655231	4.89E-06	-76.340787
1.29E-05	0.44014045	404.35881	587364	1941.6322	1.0022988	2.97E-07	0.021652462	5.29E-07	0.17178491	2.83E-06	1.54E-06	6.70E-09	0.80655231	5.12E-06	-73.577982
1.32E-05	0.44014043	404.35878	587364.02	1941.6321	1.0022989	3.10E-07	0.021652418	5.60E-07	0.17178457	2.88E-06	1.58E-06	7.04E-09	0.80655231	5.36E-06	-70.850349
1.36E-05	0.44014041	404.35875	587364.03	1941.632	1.002299	3.23E-07	0.021652373	5.92E-07	0.17178423	2.94E-06	1.63E-06	7.38E-09	0.80655231	5.60E-06	-68.149083
1.39E-05	0.44014039	404.35872	587364.04	1941.6319	1.0022991	3.36E-07	0.021652328	6.25E-07	0.17178388	2.99E-06	1.67E-06	7.74E-09	0.80655231	5.85E-06	-65.466192
1.43E-05	0.44014037	404.35869	587364.05	1941.6318	1.0022991	3.49E-07	0.021652282	6.58E-07	0.17178353	3.05E-06	1.72E-06	8.10E-09	0.80655231	6.10E-06	-62.794416
1.47E-05	0.44014036	404.35867	587364.06	1941.6317	1.0022992	3.62E-07	0.021652235	6.92E-07	0.17178317	3.10E-06	1.77E-06	8.46E-09	0.80655231	6.36E-06	-60.127156
1.50E-05	0.44014034	404.35864	587364.07	1941.6316	1.0022993	3.76E-07	0.021652188	7.27E-07	0.1717828	3.16E-06	1.81E-06	8.83E-09	0.80655231	6.62E-06	-57.458415
1.54E-05	0.44014033	404.35861	587364.08	1941.6315	1.0022993	3.89E-07	0.021652139	7.63E-07	0.17178243	3.22E-06	1.86E-06	9.21E-09	0.80655231	6.88E-06	-54.782739
1.57E-05	0.44014031	404.35859	587364.09	1941.6315	1.0022994	4.03E-07	0.02165209	8.00E-07	0.17178206	3.28E-06	1.91E-06	9.60E-09	0.80655231	7.15E-06	-52.095161
1.61E-05	0.4401403	404.35857	587364.1	1941.6314	1.0022995	4.18E-07	0.02165204	8.37E-07	0.17178167	3.33E-06	1.95E-06	9.99E-09	0.80655231	7.43E-06	-49.391158
1.65E-05	0.44014028	404.35855	587364.11	1941.6313	1.0022995	4.32E-07	0.021651989	8.75E-07	0.17178128	3.39E-06	2.00E-06	1.04E-08	0.80655231	7.71E-06	-46.666603
1.68E-05	0.44014027	404.35853	587364.12	1941.6313	1.0022996	4.47E-07	0.021651938	9.14E-07	0.17178089	3.45E-06	2.05E-06	1.08E-08	0.80655231	8.00E-06	-43.917727
1.72E-05	0.44014026	404.35851	587364.13	1941.6312	1.0022996	4.62E-07	0.021651885	9.54E-07	0.17178049	3.51E-06	2.09E-06	1.12E-08	0.80655231	8.29E-06	-41.141085
1.75E-05	0.44014025	404.35849	587364.14	1941.6312	1.0022997	4.77E-07	0.021651832	9.94E-07	0.17178008	3.58E-06	2.14E-06	1.16E-08	0.80655231	8.58E-06	-38.333519
1.79E-05	0.44014024	404.35847	587364.14	1941.6311	1.0022997	4.92E-07	0.021651778	1.04E-06	0.17177967	3.64E-06	2.19E-06	1.20E-08	0.80655231	8.88E-06	-35.492129
1.83E-05	0.44014023	404.35846	587364.15	1941.6311	1.0022997	5.08E-07	0.021651723	1.08E-06	0.17177924	3.70E-06	2.24E-06	1.24E-08	0.80655231	9.19E-06	-32.61425
1.86E-05	0.44014023	404.35844	587364.15	1941.631	1.0022998	5.23E-07	0.021651667	1.12E-06	0.17177882	3.77E-06	2.28E-06	1.29E-08	0.80655231	9.50E-06	-29.69742
1.90E-05	0.44014022	404.35843	587364.16	1941.631	1.0022998	5.40E-07	0.02165161	1.16E-06	0.17177838	3.83E-06	2.33E-06	1.33E-08	0.80655231	9.82E-06	-26.739364
1.93E-05	0.44014022	404.35842	587364.16	1941.631	1.0022998	5.56E-07	0.021651552	1.21E-06	0.17177794	3.90E-06	2.38E-06	1.37E-08	0.80655231	1.01E-05	-23.737971
1.97E-05	0.44014021	404.35841	587364.17	1941.631	1.0022999	5.72E-07	0.021651493	1.25E-06	0.17177749	3.97E-06	2.43E-06	1.42E-08	0.80655231	1.05E-05	-20.691275
2.01E-05	0.44014021	404.3584	587364.17	1941.6309	1.0022999	5.89E-07	0.021651433	1.30E-06	0.17177704	4.04E-06	2.48E-06	1.46E-08	0.80655231	1.08E-05	-17.597439
2.08E-05	0.44014021	404.35839	587364.18	1941.6309	1.0022999	6.24E-07	0.02165131	1.39E-06	0.17177611	4.18E-06	2.58E-06	1.56E-08	0.80655231	1.15E-05	-11.26156
2.14E-05	0.44014021	404.35838	587364.18	1941.6309	1.0022999	6.56E-07	0.021651197	1.48E-06	0.17177524	4.31E-06	2.67E-06	1.64E-08	0.80655231	1.21E-05	-5.3817593
2.21E-05	0.44014021	404.35838	587364.18	1941.6309	1.0022999	6.89E-07	0.021651079	1.57E-06	0.17177435	4.44E-06	2.76E-06	1.73E-08	0.80655231	1.28E-05	0.67490645
2.27E-05	0.44014022	404.35838	587364.18	1941.631	1.0022999	7.23E-07	0.021650959	1.67E-06	0.17177344	4.58E-06	2.85E-06	1.81E-08	0.80655231	1.35E-05	6.916188
2.34E-05	0.44014023	404.35839	587364.18	1941.631	1.0022999	7.57E-07	0.021650834	1.76E-06	0.1717725	4.73E-06	2.94E-06	1.90E-08	0.80655231	1.42E-05	13.349359
2.40E-05	0.44014025	404.3584	587364.17	1941.6311	1.0022999	7.93E-07	0.021650706	1.86E-06	0.17177153	4.87E-06	3.03E-06	1.99E-08	0.80655231	1.49E-05	19.981359
2.47E-05	0.44014027	404.35842	587364.16	1941.6312	1.0022998	8.30E-07	0.021650574	1.96E-06	0.17177053	5.02E-06	3.12E-06	2.08E-08	0.80655231	1.56E-05	26.818901
2.53E-05	0.4401403	404.35845	587364.15	1941.6313	1.0022998	8.68E-07	0.021650439	2.07E-06	0.17176951	5.18E-06	3.22E-06	2.18E-08	0.80655231	1.64E-05	33.868555
2.60E-05	0.44014032	404.35848	587364.14	1941.6315	1.0022997	9.07E-07	0.021650299	2.18E-06	0.17176846	5.34E-06	3.31E-06	2.27E-08	0.80655231	1.72E-05	41.136826
2.66E-05	0.44014036	404.35851	587364.13	1941.6316	1.0022996	9.47E-07	0.021650155	2.29E-06	0.17176737	5.51E-06	3.41E-06	2.37E-08	0.80655231	1.80E-05	48.630211
2.73E-05	0.4401404	404.35856	587364.11	1941.6318	1.0022995	9.89E-07	0.021650006	2.40E-06	0.17176626	5.67E-06	3.50E-06	2.47E-08	0.80655231	1.88E-05	56.355251
2.79E-05	0.44014044	404.3586	587364.09	1941.632	1.0022994	1.03E-06	0.021649854	2.52E-06	0.17176511	5.85E-06	3.60E-06	2.57E-08	0.80655231	1.97E-05	64.318576
2.86E-05	0.44014049	404.35866	587364.07	1941.6322	1.0022992	1.07E-06	0.021649696	2.64E-06	0.17176393	6.03E-06	3.70E-06	2.67E-08	0.80655231	2.06E-05	72.526938
2.92E-05	0.44014054	404.35872	587364.04	1941.6325	1.0022991	1.12E-06	0.021649534	2.77E-06	0.17176272	6.21E-06	3.80E-06	2.77E-08	0.80655231	2.15E-05	80.987239
2.99E-05	0.4401406	404.35879	587364.01	1941.6328	1.0022989	1.17E-06	0.021649368	2.90E-06	0.17176147	6.41E-06	3.90E-06	2.87E-08	0.80655231	2.25E-05	89.706558
3.05E-05	0.44014066	404.35887	587363.98	1941.6331	1.0022987	1.21E-06	0.021649196	3.03E-06	0.17176018	6.60E-06	4.00E-06	2.98E-08	0.80655231	2.34E-05	98.69217
3.12E-05	0.44014073	404.35895	587363.95	1941.6334	1.0022985	1.26E-06	0.021649019	3.17E-06	0.17175886	6.80E-06	4.11E-06	3.08E-08	0.80655231	2.44E-05	107.95157
3.18E-05	0.4401408	404.35904	587363.91	1941.6338	1.0022983	1.31E-06	0.021648837	3.31E-06	0.1717575	7.01E-06	4.21E-06	3.19E-08	0.80655231	2.55E-05	117.49247
3.25E-05	0.44014088	404.35914	587363.87	1941.6342	1.002298	1.37E-06	0.021648649	3.46E-06	0.1717561	7.23E-06	4.32E-06	3.30E-08	0.80655231	2.65E-05	127.32283
3.31E-05	0.44014097	404.35924	587363.83	1941.6346	1.0022978	1.42E-06	0.021648456	3.61E-06	0.17175467	7.45E-06	4.42E-06	3.41E-08	0.80655231	2.76E-05	137.45089
3.38E-05	0.44014106	404.35936	587363.78	1941.6351	1.0022975	1.47E-06	0.021648257	3.76E-06	0.17175319	7.67E-06	4.53E-06	3.53E-08	0.80655231	2.88E-05	147.88512
3.44E-05	0.44014116	404.35948	587363.73	1941.6355	1.0022972	1.53E-06	0.021648053	3.92E-06	0.17175166	7.91E-06	4.64E-06	3.64E-08	0.80655231	2.99E-05	158.63427
3.57E-05	0.44014138	404.35976	587363.62	1941.6366	1.0022965	1.65E-06	0.021647625	4.25E-06	0.17174848	8.39E-06	4.86E-06	3.87E-08	0.80655231	3.24E-05	181.11387
3.69E-05	0.4401416	404.36003	587363.51	1941.6377	1.0022958	1.76E-06	0.021647218	4.56E-06	0.17174546	8.86E-06	5.06E-06	4.09E-08	0.80655231	3.47E-05	202.51643
3.81E-05	0.44014184	404.36034	587363.38	1941.6389	1.0022951	1.88E-06	0.021646789	4.89E-06	0.17174228	9.34E-06	5.27E-06	4.31E-08	0.80655231	3.72E-05	225.0892
3.92E-05	0.44014211	404.36069	587363.24	1941.6402	1.0022942	2.00E-06	0.021646337	5.24E-06	0.17173894	9.86E-06	5.49E-06	4.53E-08	0.80655231	3.98E-05	248.89443
4.04E-05	0.44014241	404.36107	587363.09	1941.6417	1.0022933	2.14E-06	0.02164586	5.61E-06	0.17173542	1.04E-05	5.71E-06	4.76E-08	0.80655231	4.25E-05	273.99796
4.16E-05	0.44014273	404.36148	587362.92	1941.6433	1.0022922	2.27E-06	0.021645358	6.00E-06	0.17173171	1.10E-05	5.93E-06	5.00E-08	0.80655231	4.54E-05	300.46944
4.28E-05	0.44014308	404.36194	587362.74	1941.645	1.0022911	2.42E-06	0.021644829	6.40E-06	0.17172781	1.16E-05	6.16E-06	5.24E-08	0.80655231	4.84E-05	328.38248
4.39E-05	0.44014347	404.36244	587362.53	1941.6469	1.0022899	2.57E-06	0.021644271	6.83E-06	0.1717237	1.22E-05	6.40E-06	5.49E-08	0.80655231	5.17E-05	357.81487
4.51E-05	0.44014389	404.36298	587362.32	1941.649	1.0022885	2.73E-06	0.021643684	7.28E-06	0.17171937	1.29E-05	6.65E-06	5.74E-08	0.80655231	5.50E-05	388.84877
4.63E-05	0.44014434	404.36357	587362.08	1941.6512	1.0022871	2.90E-06	0.021643065	7.76E-06	0.17171482	1.36E-05	6.90E-06	6.01E-08	0.80655231	5.86E-05	421.571
4.74E-05	0.44014483	404.3642	587361.82	1941.6536	1.0022855	3.08E-06	0.021642413	8.26E-06	0.17171003	1.43E-05	7.16E-06	6.27E-08	0.80655231	6.24E-05	456.07322
4.86E-05	0.44014536	404.36489	587361.54	1941.6562	1.0022838	3.27E-06	0.021641725	8.79E-06	0.17170499	1.51E-05	7.42E-06	6.55E-08	0.80655231	6.63E-05	492.45225
4.98E-05	0.44014592	404.36563	587361.24	1941.659	1.0022819	3.47E-06	0.021641001	9.34E-06	0.17169968	1.59E-05	7.69E-06	6.83E-08	0.80655231	7.05E-05	530.81033
5.09E-05	0.44014654	404.36643	587360.92	1941.6621	1.00228	3.68E-06	0.021640239	9.93E-06	0.17169408	1.68E-05	7.98E-06	7.12E-08	0.80655231	7.49E-05	571.25539
5.21E-05	0.44014719	404.36729	587360.57	1941.6653	1.0022778	3.90E-06	0.021639435	1.05E-05	0.1716882	1.77E-05	8.27E-06	7.42E-08	0.80655231	7.96E-05	613.90147
5.33E-05	0.4401479	404.36821	587360.19	1941.6688	1.0022755	4.13E-06	0.021638589	1.12E-05	0.171682	1.86E-05	8.57E-06	7.72E-08	0.80655231	8.45E-05	658.86895
5.44E-05	0.44014865	404.3692	587359.79	1941.6725	1.0022731	4.38E-06	0.021637697	1.19E-05	0.17167548	1.96E-05	8.88E-06	8.04E-08	0.80655231	8.97E-05	706.28499
5.56E-05	0.44014946	404.37026	587359.36	1941.6765	1.0022705	4.63E-06	0.021636757	1.26E-05	0.17166861	2.07E-05	9.20E-06	8.36E-08	0.80655231	9.51E-05	756.28389
5.68E-05	0.44015032	404.3714	587358.9	1941.6808	1.0022677	4.90E-06	0.021635768	1.34E-05	0.17166138	2.18E-05	9.53E-06	8.69E-08	0.80655231	0.000100855	809.00752
5.80E-05	0.44015124	404.37261	587358.41	1941.6854	1.0022646	5.19E-06	0.021634726	1.42E-05	0.17165377	2.30E-05	9.87E-06	9.03E-08	0.80655231	0.000106905	864.60574
5.91E-05	0.44015223	404.37391	587357.89	1941.6902	1.0022614	5.49E-06	0.021633627	1.50E-05	0.17164576	2.42E-05	1.02E-05	9.39E-08	0.80655231	0.00011328	923.23688
6.03E-05	0.44015328	404.37529	587357.33	1941.6954	1.002258	5.81E-06	0.021632471	1.59E-05	0.17163732	2.55E-05	1.06E-05	9.75E-08	0.80655231	0.000119999	985.06824
6.15E-05	0.44015439	404.37677	587356.73	1941.701	1.0022543	6.14E-06	0.021631253	1.68E-05	0.17162844	2.69E-05	1.10E-05	1.01E-07	0.80655231	0.000127078	1050.2766
6.26E-05	0.44015559	404.37834	587356.09	1941.7069	1.0022504	6.49E-06	0.02162997	1.78E-05	0.17161909	2.84E-05	1.14E-05	1.05E-07	0.80655231	0.000134538	1119.0489
6.38E-05	0.44015685	404.38002	587355.41	1941.7132	1.0022463	6.86E-06	0.021628618	1.88E-05	0.17160924	2.99E-05	1.18E-05	1.09E-07	0.80655231	0.000142398	1191.5824
6.50E-05	0.4401582	404.3818	587354.69	1941.7199	1.0022419	7.25E-06	0.021627195	1.99E-05	0.17159888	3.15E-05	1.22E-05	1.13E-07	0.80655231	0.00015068	1268.0862
6.60E-05	0.44015949	404.3835	587354	1941.7263	1.0022377	7.61E-06	0.021625849	2.09E-05	0.17158908	3.30E-05	1.26E-05	1.17E-07	0.80655231	0.000158513	1340.5162
6.71E-05	0.44016085	404.3853	587353.27	1941.733	1.0022332	8.00E-06	0.021624439	2.20E-05	0.17157883	3.46E-05	1.30E-05	1.21E-07	0.80655231	0.000166722	1416.5103
6.81E-05	0.44016229	404.3872	587352.5	1941.7401	1.0022285	8.40E-06	0.021622961	2.31E-05	0.17156808	3.62E-05	1.34E-05	1.25E-07	0.80655231	0.000175325	1496.247
6.92E-05	0.4401638	404.38921	587351.68	1941.7476	1.0022235	8.82E-06	0.021621414	2.43E-05	0.17155683	3.80E-05	1.38E-05	1.29E-07	0.80655231	0.000184342	1579.9139
7.02E-05	0.4401654	404.39133	587350.83	1941.7556	1.0022183	9.27E-06	0.021619792	2.56E-05	0.17154504	3.98E-05	1.43E-05	1.34E-07	0.80655231	0.000193791	1667.7084
7.13E-05	0.44016709	404.39357	587349.92	1941.7639	1.0022127	9.73E-06	0.021618093	2.69E-05	0.17153269	4.17E-05	1.48E-05	1.38E-07	0.80655231	0.000203694	1759.8382
7.23E-05	0.44016887	404.39593	587348.96	1941.7728	1.0022069	1.02E-05	0.021616313	2.82E-05	0.17151976	4.37E-05	1.52E-05	1.43E-07	0.80655231	0.000214071	1856.5219
7.34E-05	0.44017075	404.39842	587347.95	1941.7821	1.0022007	1.07E-05	0.021614448	2.96E-05	0.17150622	4.58E-05	1.57E-05	1.48E-07	0.80655231	0.000224946	1957.9893
7.44E-05	0.44017273	404.40104	587346.89	1941.7919	1.0021942	1.13E-05	0.021612494	3.11E-05	0.17149203	4.80E-05	1.63E-05	1.53E-07	0.80655231	0.000236342	2064.4824
7.54E-05	0.4401746	404.40353	587345.88	1941.8012	1.002188	1.18E-05	0.021610656	3.25E-05	0.1714787	5.01E-05	1.67E-05	1.57E-07	0.80655231	0.000247064	2164.8333
7.63E-05	0.44017656	404.40613	587344.83	1941.8109	1.0021816	1.23E-05	0.02160874	3.40E-05	0.17146479	5.23E-05	1.72E-05	1.62E-07	0.80655231	0.000258247	2269.656
7.73E-05	0.44017862	404.40886	587343.72	1941.8211	1.0021748	1.28E-05	0.021606741	3.55E-05	0.17145029	5.45E-05	1.77E-05	1.67E-07	0.80655231	0.00026991	2379.1546
7.82E-05	0.44018077	404.41172	587342.56	1941.8318	1.0021677	1.34E-05	0.021604658	3.71E-05	0.17143518	5.68E-05	1.83E-05	1.72E-07	0.80655231	0.000282073	2493.5429
7.92E-05	0.44018303	404.41472	587341.34	1941.843	1.0021603	1.40E-05	0.021602485	3.88E-05	0.17141942	5.93E-05	1.88E-05	1.77E-07	0.80655231	0.000294759	2613.0448
8.01E-05	0.4401854	404.41787	587340.07	1941.8548	1.0021525	1.46E-05	0.02160022	4.05E-05	0.171403	6.18E-05	1.94E-05	1.82E-07	0.80655231	0.000307989	2737.895
8.11E-05	0.44018788	404.42116	587338.74	1941.8671	1.0021443	1.52E-05	0.021597858	4.23E-05	0.17138588	6.45E-05	1.99E-05	1.88E-07	0.80655231	0.000321786	2868.3391
8.20E-05	0.44019047	404.42461	587337.34	1941.88	1.0021358	1.59E-05	0.021595395	4.42E-05	0.17136803	6.73E-05	2.05E-05	1.93E-07	0.80655231	0.000336174	3004.6347
8.30E-05	0.44019319	404.42822	587335.87	1941.8934	1.0021268	1.66E-05	0.021592827	4.61E-05	0.17134942	7.02E-05	2.12E-05	1.99E-07	0.80655231	0.000351179	3147.0517
8.39E-05	0.44019603	404.43201	587334.34	1941.9076	1.0021175	1.73E-05	0.021590149	4.82E-05	0.17133002	7.32E-05	2.18E-05	2.05E-07	0.80655231	0.000366826	3295.8726
8.49E-05	0.44019901	404.43597	587332.73	1941.9224	1.0021076	1.81E-05	0.021587358	5.03E-05	0.1713098	7.63E-05	2.25E-05	2.12E-07	0.80655231	0.000383143	3451.3938
8.58E-05	0.44020213	404.44012	587331.05	1941.9378	1.0020974	1.89E-05	0.021584447	5.25E-05	0.17128873	7.96E-05	2.31E-05	2.18E-07	0.80655231	0.000400159	3613.9259
8.68E-05	0.4402054	404.44447	587329.29	1941.954	1.0020866	1.97E-05	0.021581412	5.48E-05	0.17126676	8.30E-05	2.38E-05	2.25E-07	0.80655231	0.000417902	3783.7942
8.77E-05	0.44020882	404.44902	587327.45	1941.971	1.0020753	2.06E-05	0.021578249	5.73E-05	0.17124386	8.66E-05	2.46E-05	2.32E-07	0.80655231	0.000436404	3961.3398
8.87E-05	0.44021239	404.45378	587325.52	1941.9888	1.0020635	2.15E-05	0.02157495	5.98E-05	0.17121998	9.03E-05	2.53E-05	2.39E-07	0.80655231	0.000455696	4146.9203
8.95E-05	0.44021576	404.45825	587323.7	1942.0055	1.0020524	2.23E-05	0.021571862	6.21E-05	0.17119764	9.38E-05	2.60E-05	2.45E-07	0.80655231	0.000473763	4321.1218
9.04E-05	0.44021926	404.46292	587321.81	1942.0229	1.0020409	2.32E-05	0.021568655	6.46E-05	0.17117444	9.74E-05	2.67E-05	2.52E-07	0.80655231	0.000492523	4502.4204
9.12E-05	0.44022291	404.46778	587319.84	1942.041	1.0020288	2.41E-05	0.021565327	6.71E-05	0.17115036	0.000101119	2.74E-05	2.59E-07	0.80655231	0.000512001	4691.1141
9.21E-05	0.44022671	404.47284	587317.79	1942.0598	1.0020163	2.50E-05	0.021561871	6.97E-05	0.17112536	0.000105011	2.82E-05	2.66E-07	0.80655231	0.000532227	4887.5139
9.29E-05	0.44023067	404.47812	587315.65	1942.0795	1.0020032	2.60E-05	0.021558283	7.25E-05	0.17109942	0.000109051	2.90E-05	2.74E-07	0.80655231	0.000553226	5091.9441
9.38E-05	0.44023479	404.48362	587313.42	1942.1	1.0019896	2.70E-05	0.021554559	7.53E-05	0.17107249	0.000113245	2.98E-05	2.81E-07	0.80655231	0.00057503	5304.743
9.46E-05	0.44023909	404.48934	587311.1	1942.1213	1.0019754	2.81E-05	0.021550692	7.83E-05	0.17104454	0.0001176	3.06E-05	2.89E-07	0.80655231	0.000597669	5526.2636
9.55E-05	0.44024356	404.49531	587308.68	1942.1435	1.0019606	2.91E-05	0.021546678	8.13E-05	0.17101553	0.000122122	3.14E-05	2.97E-07	0.80655231	0.000621173	5756.8742
9.63E-05	0.44024822	404.50152	587306.16	1942.1666	1.0019452	3.03E-05	0.021542512	8.45E-05	0.17098541	0.000126816	3.23E-05	3.06E-07	0.80655231	0.000645577	5996.9589
9.72E-05	0.44025308	404.508	587303.54	1942.1907	1.0019292	3.14E-05	0.021538186	8.78E-05	0.17095416	0.000131689	3.32E-05	3.14E-07	0.80655231	0.000670913	6246.9184
9.80E-05	0.44025813	404.51474	587300.81	1942.2158	1.0019125	3.27E-05	0.021533696	9.12E-05	0.17092172	0.000136749	3.41E-05	3.23E-07	0.80655231	0.000697217	6507.1705
9.89E-05	0.4402634	404.52176	587297.96	1942.242	1.0018951	3.39E-05	0.021529036	9.48E-05	0.17088805	0.000142002	3.50E-05	3.32E-07	0.80655231	0.000724525	6778.151
9.97E-05	0.44026888	404.52908	587295	1942.2692	1.001877	3.52E-05	0.021524198	9.85E-05	0.17085311	0.000147455	3.60E-05	3.42E-07	0.80655231	0.000752876	7060.3145
0.000100593	0.44027459	404.5367	587291.91	1942.2976	1.0018581	3.66E-05	0.021519176	0.000102288	0.17081685	0.000153116	3.70E-05	3.51E-07	0.80655231	0.000782308	7354.1347
0.000101446	0.44028054	404.54464	587288.69	1942.3271	1.0018384	3.80E-05	0.021513964	0.000106263	0.17077922	0.000158993	3.80E-05	3.61E-07	0.80655231	0.000812862	7660.1056
0.000102298	0.44028673	404.55291	587285.34	1942.3578	1.001818	3.95E-05	0.021508554	0.000110388	0.17074016	0.000165094	3.91E-05	3.72E-07	0.80655231	0.000844581	7978.7423
0.000103151	0.44029318	404.56152	587281.85	1942.3899	1.0017966	4.10E-05	0.021502938	0.000114671	0.17069963	0.000171428	4.01E-05	3.82E-07	0.80655231	0.000877508	8310.5814
0.000104004	0.4402999	404.57049	587278.21	1942.4232	1.0017744	4.26E-05	0.02149711	0.000119116	0.17065757	0.000178002	4.12E-05	3.93E-07	0.80655231	0.000911688	8656.1821
0.000104856	0.4403069	404.57984	587274.43	1942.458	1.0017513	4.42E-05	0.021491061	0.00012373	0.17061393	0.000184828	4.23E-05	4.04E-07	0.80655231	0.000947169	9016.1272
0.000105709	0.44031418	404.58957	587270.48	1942.4941	1.0017272	4.59E-05	0.021484783	0.00012852	0.17056863	0.000191912	4.35E-05	4.16E-07	0.80655231	0.000983999	9391.0235
0.000106561	0.44032177	404.59971	587266.37	1942.5318	1.0017021	4.77E-05	0.021478267	0.00013349	0.17052164	0.000199267	4.47E-05	4.28E-07	0.80655231	0.001022228	9781.5031
0.000107414	0.44032967	404.61027	587262.09	1942.571	1.0016759	4.95E-05	0.021471505	0.000138649	0.17047287	0.0002069	4.59E-05	4.40E-07	0.80655231	0.001061909	10188.224
0.000108267	0.4403379	404.62127	587257.64	1942.6119	1.0016487	5.14E-05	0.021464488	0.000144004	0.17042227	0.000214824	4.71E-05	4.52E-07	0.80655231	0.001103096	10611.87
0.000109119	0.44034647	404.63272	587252.99	1942.6544	1.0016204	5.34E-05	0.021457205	0.000149561	0.17036977	0.000223049	4.84E-05	4.65E-07	0.80655231	0.001145845	11053.156
0.000109972	0.44035539	404.64465	587248.16	1942.6987	1.0015908	5.54E-05	0.021449648	0.000155329	0.1703153	0.000231586	4.97E-05	4.79E-07	0.80655231	0.001190214	11512.82
0.000110824	0.44036469	404.65708	587243.12	1942.7449	1.0015601	5.76E-05	0.021441806	0.000161315	0.17025878	0.000240447	5.10E-05	4.93E-07	0.80655231	0.001236264	11991.635
0.000111677	0.44037436	404.67003	587237.87	1942.7929	1.001528	5.98E-05	0.021433669	0.000167526	0.17020015	0.000249643	5.24E-05	5.07E-07	0.80655231	0.001284055	12490.401
0.000112529	0.44038444	404.68351	587232.41	1942.843	1.0014947	6.21E-05	0.021425225	0.000173973	0.17013932	0.000259188	5.38E-05	5.21E-07	0.80655231	0.001333654	13009.951
0.000113382	0.44039494	404.69756	587226.71	1942.8951	1.0014599	6.44E-05	0.021416464	0.000180663	0.17007621	0.000269094	5.52E-05	5.36E-07	0.80655231	0.001385126	13551.147
0.000114235	0.44040587	404.71219	587220.79	1942.9494	1.0014237	6.69E-05	0.021407374	0.000187605	0.17001075	0.000279374	5.66E-05	5.51E-07	0.80655231	0.001438541	14114.888
0.000115087	0.44041726	404.72742	587214.61	1943.0059	1.001386	6.94E-05	0.021397943	0.000194808	0.16994284	0.000290044	5.81E-05	5.67E-07	0.80655231	0.001493971	14702.103
0.00011594	0.44042911	404.7433	587208.18	1943.0647	1.0013467	7.21E-05	0.021388158	0.000202283	0.16987239	0.000301116	5.96E-05	5.83E-07	0.80655231	0.001551489	15313.759
